uuid,enum_id,hh_id,gps_lat,gps_lon,gps_precision,weight,stratum,cluster_id,site,admin1,admin2,consent,respondent_age,respondent_sex,num_members,start,end,deviceid,hh_size,hohh_status,residency_status,dod_idp_returnee,date_dod_idp_returnee,first_priority_need,second_priority_need,left_yn,num_left,fsl_fcs_cereal,fsl_fcs_legumes,fsl_fcs_score,fsl_fcs_cat,fsl_hhs_score,fsl_hhs_cat
HH-00001,ENUM-49,HHID-00001,-22.58277860747475,71.33821704710826,1.8513292883861965,1.7977044628405452,Urban,CLU-97,Site3,Admin1_E,Admin2_12,yes,54,m,12,2024-01-11,2024-01-12,device-9167,12,divorced,host,,,drinking_water,food,no,0,6,3,21,Poor,14,Severe
HH-00002,ENUM-49,HHID-00002,81.12857515378491,12.994691883883348,5.419009473783581,1.6979546940743275,Camp,CLU-35,Site17,Admin1_E,Admin2_7,yes,70,m,4,2024-01-02,2024-01-06,device-8242,4,divorced,refugee,yes,2023-10-20,drinking_water,food,yes,1,7,7,35,Borderline,6,Severe
HH-00003,ENUM-42,HHID-00003,41.75890952605292,-68.57005813692201,8.729458358764083,0.5641051645160893,Rural,CLU-43,Site12,Admin1_A,Admin2_3,yes,30,f,32,2024-01-02,2024-01-07,device-1845,8,widowed,idp,no,,shelter_materials,drinking_water,yes,1,5,3,19,Poor,3,Moderate
HH-00004,ENUM-5,HHID-00004,17.758527155466595,112.9662070945015,7.322248864095612,1.3531195690653908,Camp,CLU-39,Site2,Admin1_E,Admin2_15,yes,39,f,13,2024-01-07,2024-01-09,device-4335,13,widowed,refugee,no,,wash_nfi,drinking_water,no,0,0,3,9,Poor,0,None
HH-00005,ENUM-12,HHID-00005,-61.916644720361425,-236.64193880924915,8.065611478614498,1.4504890469646425,Rural,CLU-75,Site4,Admin1_B,Admin2_7,yes,64,m,12,2024-01-06,2024-01-09,device-5375,12,divorced,idp_returnee,yes,2023-05-11,food,drinking_water,yes,0,7,7,35,Borderline,6,Severe
HH-00006,ENUM-50,HHID-00006,-61.92098633948352,-121.45790183583912,6.587833667107174,1.4970569522422512,Camp,CLU-93,Site14,Admin1_D,Admin2_8,yes,63,m,3,2024-01-07,2024-01-04,device-9998,3,widowed,idp,no,,healthcare,drinking_water,no,0,2,5,19,Poor,3,Moderate
HH-00007,ENUM-41,HHID-00007,-79.5449498097241,147.93378641778327,6.922765645178525,1.9504309230683308,Urban,CLU-74,Site8,Admin1_C,Admin2_15,yes,32,m,2,2024-01-07,2024-01-11,device-3146,2,married,refugee,yes,2023-03-16,shelter_materials,drinking_water,no,0,0,6,18,Poor,3,Moderate
HH-00008,ENUM-32,HHID-00008,65.91170623948832,116.11340745234082,8.491956515653193,1.8340063668171962,Camp,CLU-2,Site3,Admin1_B,Admin2_7,yes,61,f,4,2024-01-06,2024-01-07,device-5719,4,married,refugee,yes,2023-04-01,shelter_materials,drinking_water,no,0,1,3,11,Poor,6,Severe
HH-00009,ENUM-30,HHID-00009,18.20070211377758,161.92796878509267,2.4966800885918596,2.0197627319836116,Camp,CLU-34,Site11,Admin1_B,Admin2_6,yes,52,m,9,2024-01-16,2024-01-21,device-8178,9,widowed,refugee,no,,food,drinking_water,no,0,1,6,20,Poor,0,None
HH-00010,ENUM-49,HHID-00010,37.45306400328819,81.2590230198096,4.894249636431405,2.4122081538553206,Rural,CLU-84,Site20,Admin1_D,Admin2_9,yes,58,f,7,2024-01-15,2024-01-20,device-8941,7,widowed,idp,yes,2023-08-28,food,drinking_water,yes,1,5,2,16,Poor,6,Severe
HH-00011,ENUM-37,HHID-00011,-86.29479102675556,40.829470536884344,2.2120944181960223,2.532464346790234,Rural,CLU-47,Site20,Admin1_E,Admin2_7,yes,68,f,13,2024-01-09,2024-01-11,device-2989,13,divorced,idp,no,,wash_nfi,drinking_water,no,0,5,0,10,Poor,2,Moderate
HH-00012,ENUM-49,HHID-00012,84.58377338915898,-29.432506935377205,9.87668007996647,2.295307690566236,Urban,CLU-89,Site20,Admin1_D,Admin2_2,yes,48,f,6,,2024-01-20,device-1472,6,divorced,idp,no,,drinking_water,food,yes,0,6,5,27,Poor,4,Severe
HH-00013,ENUM-38,HHID-00013,59.839675344075914,155.78225400744475,9.440593396866133,2.888809239887337,Camp,CLU-31,Site13,Admin1_B,Admin2_14,yes,76,m,13,2024-01-15,2024-01-19,device-4920,13,widowed,idp,yes,2023-02-17,shelter_materials,drinking_water,no,0,2,0,4,Poor,4,Severe
HH-00014,ENUM-29,HHID-00014,-51.77896007791029,131.78300022014702,0.394268113685059,0.5455814566909041,Camp,CLU-8,Site11,Admin1_A,Admin2_8,yes,10,m,9,2024-01-10,2024-01-11,device-3594,9,married,host,,,shelter_materials,drinking_water,no,0,6,1,15,Poor,1,Moderate
HH-00015,ENUM-44,HHID-00015,-57.27150590272189,-163.72127876177183,7.055751725156885,0.9894449642088652,Camp,CLU-86,Site1,Admin1_A,Admin2_13,yes,60,f,10,2024-01-10,2024-01-13,device-6091,10,single,refugee,yes,2023-04-13,food,drinking_water,no,0,0,5,15,Poor,4,Severe
HH-00016,ENUM-37,HHID-00016,-56.98718822638191,-170.50788918098928,9.252483174156659,0.5189071874453552,Camp,CLU-16,Site9,Admin1_B,Admin2_14,yes,40,f,12,2024-01-12,2024-01-17,device-1224,12,widowed,host,,,shelter_materials,drinking_water,no,0,6,0,12,Poor,5,Severe
HH-00017,ENUM-42,HHID-00017,-35.23639626728321,-44.473187923902145,1.8057534512733353,2.1186867853865072,Urban,CLU-60,Site15,Admin1_A,Admin2_10,yes,50,f,11,2024-01-15,2024-01-18,device-7684,11,divorced,idp_returnee,yes,2023-04-24,healthcare,drinking_water,yes,0,0,1,3,Poor,1,Moderate
HH-00018,ENUM-41,HHID-00018,4.456157693802808,111.79919908145985,5.679452305526294,2.7450763723749674,Rural,CLU-40,Site16,Admin1_E,Admin2_11,yes,1,f,12,2024-01-15,2024-01-16,device-2527,12,divorced,refugee,no,,wash_nfi,drinking_water,no,0,2,2,132,Poor,2,Moderate
HH-00019,ENUM-40,HHID-00019,-12.249896644419167,175.41940655337999,9.154882975880419,1.1087057414407482,Camp,CLU-21,Site8,Admin1_D,Admin2_13,yes,72,f,1,2024-01-21,2024-01-24,device-4681,1,widowed,idp,no,,food,food,yes,5,0,4,12,Poor,3,Moderate
HH-00020,ENUM-21,HHID-00020,-37.57875476435245,-125.84991920272985,0.3394597858579884,2.8175863619907666,Urban,CLU-52,Site12,Admin1_C,Admin2_11,yes,28,m,3,2024-01-23,2024-01-28,device-2858,3,divorced,idp,yes,2023-08-04,wash_nfi,drinking_water,yes,1,4,7,29,Borderline,3,Moderate
HH-00021,ENUM-41,HHID-00021,20.133521050028307,33.88705752676864,6.974202672468399,0.6506684757239021,Urban,CLU-88,Site18,Admin1_D,Admin2_4,yes,71,m,7,2024-01-15,2024-01-18,device-8560,37,married,idp,no,,shelter_materials,drinking_water,no,0,6,3,21,Poor,2,Moderate
HH-00022,ENUM-21,HHID-00022,-64.89110508263246,-42.87929161283225,2.9734900737255074,2.8360900670137856,Urban,CLU-65,Site13,Admin1_C,Admin2_3,yes,60,m,11,2024-01-23,2024-01-27,device-2924,11,divorced,host,,,drinking_water,food,no,0,6,5,27,Poor,3,Moderate
HH-00023,ENUM-10,HHID-00023,-37.41396326366073,169.16918321325716,9.243961953765304,1.379056718099086,Urban,CLU-91,Site14,Admin1_B,Admin2_8,yes,74,m,1,2024-01-19,2024-01-22,device-3522,1,single,idp,no,,drinking_water,drinking_water,no,0,4,0,8,Poor,2,Moderate
HH-00024,ENUM-29,HHID-00024,-24.0548682071355,123.16281232885513,9.710582451653679,0.7535520711230412,Urban,CLU-99,Site6,Admin1_B,Admin2_2,yes,53,f,13,2024-01-27,2024-01-31,device-9165,13,single,refugee,no,,healthcare,drinking_water,yes,0,5,0,10,Poor,8,Moderate
HH-00348,ENUM-5,HHID-00025,-7.907402840933528,121.79833369600965,9.442664891134338,1.7146793979658141,Rural,CLU-40,Site19,Admin1_C,Admin2_13,yes,29,f,2,2024-01-25,2024-01-28,device-5781,2,married,refugee,yes,2023-12-19,healthcare,drinking_water,no,0,5,3,19,Poor,4,Severe
HH-00026,ENUM-31,HHID-00026,51.33167305074244,-11.27046247381071,4.742142166574638,1.1419414193012698,Urban,CLU-89,Site13,Admin1_A,Admin2_14,yes,36,f,14,2024-01-24,2024-01-29,device-9337,14,divorced,idp_returnee,yes,2023-05-20,food,drinking_water,no,0,0,3,9,Poor,4,Severe
